name,url_picture,date_of_birth,age,height,weight,spike,block
Madison Kingdon Rishel,/en/vnl/women/teams/usa-usa/players/madison-kingdon-rishel?id=70967,20/04/1993,26,183,78,307,298
Jordan Larson,/en/vnl/women/teams/usa-usa/players/jordan-larson?id=70961,16/10/1986,33,188,75,302,295
Andrea Drews,/en/vnl/women/teams/usa-usa/players/andrea-drews?id=70956,25/12/1993,26,191,77,316,312
Jordan Thompson,/en/vnl/women/teams/usa-usa/players/jordan-thompson?id=70975,05/05/1997,22,193,70,320,314
Sarah Wilhite,/en/vnl/women/teams/usa-usa/players/sarah-wilhite?id=70972,30/07/1995,24,185,75,305,300
Michelle Bartsch-Hackley,/en/vnl/women/teams/usa-usa/players/michelle-bartsch-hackley?id=70952,12/02/1990,29,190,78,305,296
Kimberly Hill,/en/vnl/women/teams/usa-usa/players/kimberly-hill?id=70960,30/11/1989,30,193,72,320,310
Megan Courtney,/en/vnl/women/teams/usa-usa/players/megan-courtney?id=70954,27/10/1993,26,185,61,314,300
Mikaela Foecke,/en/vnl/women/teams/usa-usa/players/mikaela-foecke?id=70957,22/02/1997,22,191,79,302,295
Hannah Tapp,/en/vnl/women/teams/usa-usa/players/hannah-tapp?id=71398,21/06/1995,24,191,77,297,290
Dana Rettke,/en/vnl/women/teams/usa-usa/players/dana-rettke?id=70974,21/01/1999,20,203,80,315,308
Simone Lee,/en/vnl/women/teams/usa-usa/players/simone-lee?id=70962,07/10/1996,23,186,70,310,305
Haleigh Washington,/en/vnl/women/teams/usa-usa/players/haleigh-washington?id=70971,22/09/1995,24,190,82,307,295
Kelsey Robinson,/en/vnl/women/teams/usa-usa/players/kelsey-robinson?id=70968,25/06/1992,27,188,73,307,298
Chiaka Ogbogu,/en/vnl/women/teams/usa-usa/players/chiaka-ogbogu?id=70965,15/04/1995,24,188,73,318,307
Karsta Lowe,/en/vnl/women/teams/usa-usa/players/karsta-lowe?id=70964,02/02/1993,26,193,75,315,305
Mary Lake,/en/vnl/women/teams/usa-usa/players/mary-lake?id=71400,16/09/1998,21,170,63,263,257
Danielle Cuttino,/en/vnl/women/teams/usa-usa/players/danielle-cuttino?id=71396,22/06/1996,23,193,75,324,316
