name,url_picture,date_of_birth,age,height,weight,spike,block
Nayeon Lee,/en/vnl/women/teams/kor-korea/players/nayeon-lee?id=71387,25/03/1992,27,173,62,261,241
Sooji Han,/en/vnl/women/teams/kor-korea/players/sooji-han?id=71370,01/02/1989,30,182,72,285,275
Hyejin Ha,/en/vnl/women/teams/kor-korea/players/hyejin-ha?id=71369,07/09/1996,23,181,60,285,275
Hyunjeong Kim,/en/vnl/women/teams/kor-korea/players/hyunjeong-kim?id=71378,28/08/1998,21,180,70,272,262
Eun-Ji Choi,/en/vnl/women/teams/kor-korea/players/eun-ji-choi?id=71367,07/06/1992,27,183,72,277,267
Kirsten Knip,/en/vnl/women/teams/ned-netherlands/players/kirsten-knip?id=70821,14/09/1992,27,175,70,281,275
Femke Stoltenborg,/en/vnl/women/teams/ned-netherlands/players/femke-stoltenborg?id=70834,30/07/1991,28,189,81,303,299
Yvon Belien,/en/vnl/women/teams/ned-netherlands/players/yvon-belien?id=70810,28/12/1993,26,188,73,307,303
Celeste Plak,/en/vnl/women/teams/ned-netherlands/players/celeste-plak?id=70827,26/10/1995,24,190,87,314,302
Robin De Kruijf,/en/vnl/women/teams/ned-netherlands/players/robin-de-kruijf?id=70816,05/05/1991,28,192,81,313,300
Maret Balkestein-Grothues,/en/vnl/women/teams/ned-netherlands/players/maret-balkestein-grothues?id=70809,16/09/1988,31,180,68,304,285
Juliet Lohuis,/en/vnl/women/teams/ned-netherlands/players/juliet-lohuis?id=70824,10/09/1996,23,190,77,305,295
Demi Korevaar,/en/vnl/women/teams/ned-netherlands/players/demi-korevaar?id=70823,09/08/2000,19,187,71,311,303
Myrthe Schoot,/en/vnl/women/teams/ned-netherlands/players/myrthe-schoot?id=70830,29/08/1988,31,182,70,298,286
Lonneke Slöetjes,/en/vnl/women/teams/ned-netherlands/players/lonneke-sl%c3%b6etjes?id=70832,15/11/1990,29,191,76,322,315
Anne Buijs,/en/vnl/women/teams/ned-netherlands/players/anne-buijs?id=70814,02/12/1991,28,191,73,317,299
Britt Bongaerts,/en/vnl/women/teams/ned-netherlands/players/britt-bongaerts?id=70812,03/11/1996,23,185,68,296,284
Hester Jasper,/en/vnl/women/teams/ned-netherlands/players/hester-jasper?id=70819,07/05/2001,18,175,63,295,287
Laura Dijkema,/en/vnl/women/teams/ned-netherlands/players/laura-dijkema?id=70818,18/02/1990,29,184,70,293,279
Indy Baijens,/en/vnl/women/teams/ned-netherlands/players/indy-baijens?id=70808,04/02/2001,18,190,67,317,312
Nicole Oude Luttikhuis,/en/vnl/women/teams/ned-netherlands/players/nicole-oude-luttikhuis?id=70826,26/12/1997,22,191,82,312,305
Marrit Jasper,/en/vnl/women/teams/ned-netherlands/players/marrit-jasper?id=70820,28/02/1996,23,180,75,300,285
Nika Daalderop,/en/vnl/women/teams/ned-netherlands/players/nika-daalderop?id=70815,29/11/1998,21,189,72,317,308
Tessa Polder,/en/vnl/women/teams/ned-netherlands/players/tessa-polder?id=70828,10/10/1997,22,189,76,301,293
Annick Meijers,/en/vnl/women/teams/ned-netherlands/players/annick-meijers?id=70825,23/03/2000,19,188,70,310,301
Nicole Koolhaas,/en/vnl/women/teams/ned-netherlands/players/nicole-koolhaas?id=70822,31/01/1991,28,198,77,310,300
Florien Reesink,/en/vnl/women/teams/ned-netherlands/players/florien-reesink?id=70829,09/06/1998,21,174,61,279,273
Sarah Van Aalen,/en/vnl/women/teams/ned-netherlands/players/sarah-van-aalen?id=70835,21/01/2000,19,183,68,300,293
Anniek Siebring,/en/vnl/women/teams/ned-netherlands/players/anniek-siebring?id=70831,13/05/1997,22,180,68,302,287
Eline Timmerman,/en/vnl/women/teams/ned-netherlands/players/eline-timmerman?id=70837,30/12/1998,21,192,78,303,295
